City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,31.75,90,100,4.0,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,80.56,77,77,10.04,broken clouds
2,Busselton,AU,-33.65,115.3333,51.04,76,70,14.92,broken clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,90,17.27,light rain
4,Yinchuan,CN,38.4681,106.2731,87.84,21,35,5.99,scattered clouds
5,Puerto Escondido,MX,15.85,-97.0667,86.83,66,75,8.05,broken clouds
6,Ancud,CL,-41.8697,-73.8203,47.73,68,100,6.8,overcast clouds
7,Asau,RO,46.4333,26.4,74.39,81,74,1.61,broken clouds
8,Severo-Kurilsk,RU,50.6789,156.125,53.47,96,57,8.9,broken clouds
9,Port Elizabeth,ZA,-33.918,25.5701,46.69,87,40,20.71,light rain
10,Lavrentiya,RU,65.5833,-171.0,45.19,92,85,5.95,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,41.05,86,100,14.83,light rain
12,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,9.22,broken clouds
13,Cholet,FR,47.1667,-1.0,72.25,64,90,15.12,overcast clouds
14,Pasco,US,28.292,-82.4165,93.97,61,33,1.99,scattered clouds
15,Thompson,CA,55.7435,-97.8558,68.16,42,40,11.5,scattered clouds
16,Borovsk,RU,55.2064,36.4861,81.1,71,0,5.41,clear sky
17,Kaitangata,NZ,-46.2817,169.8464,36.93,73,100,5.91,overcast clouds
18,Morrope,PE,-6.5417,-80.0111,73.51,62,36,17.9,scattered clouds
19,Hilo,US,19.7297,-155.09,81.28,79,20,5.75,light rain
20,Daru,PG,-9.0763,143.2092,78.08,89,73,16.44,broken clouds
21,Ucluelet,CA,48.9329,-125.5528,78.04,75,5,4.43,clear sky
22,Atuona,PF,-9.8,-139.0333,77.9,69,39,23.38,scattered clouds
23,Severo-Yeniseyskiy,RU,60.3725,93.0408,49.46,64,24,2.3,few clouds
24,Grand Gaube,MU,-20.0064,57.6608,71.38,65,57,5.99,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,39.31,75,0,11.5,clear sky
26,Ushuaia,AR,-54.8,-68.3,35.22,87,46,1.74,scattered clouds
27,Maniitsoq,GL,65.4167,-52.9,45.63,76,99,12.73,overcast clouds
28,Kyaukse,MM,21.6,96.1333,82.22,71,78,7.49,broken clouds
29,Jamestown,US,42.097,-79.2353,85.59,70,40,5.01,scattered clouds
30,Vaini,TO,-21.2,-175.2,73.56,94,75,3.44,broken clouds
31,Chokurdakh,RU,70.6333,147.9167,42.64,61,36,10.11,scattered clouds
32,Maragogi,BR,-9.0122,-35.2225,79.14,69,50,10.04,scattered clouds
33,Butaritari,KI,3.0707,172.7902,83.07,75,17,12.95,few clouds
34,Mwinilunga,ZM,-11.7358,24.4293,61.18,45,0,3.98,clear sky
35,Carnarvon,AU,-24.8667,113.6333,57.27,71,62,5.75,broken clouds
36,Muros,ES,42.7762,-9.0603,68.09,75,7,14.81,clear sky
37,Baringo,KE,0.4667,35.9667,69.04,76,89,5.88,light rain
38,Bluff,NZ,-46.6,168.3333,40.44,82,100,14.09,overcast clouds
39,Nanortalik,GL,60.1432,-45.2371,46.06,79,13,2.13,few clouds
40,Wajir,KE,1.7471,40.0573,83.17,48,92,17.31,overcast clouds
41,Hermanus,ZA,-34.4187,19.2345,48.9,69,54,6.22,light rain
42,Constitucion,CL,-35.3333,-72.4167,55.06,60,0,4.5,clear sky
43,Garden City,US,42.3256,-83.331,81.99,84,75,1.01,broken clouds
44,Alexandria,EG,31.2156,29.9553,80.67,63,0,8.5,clear sky
45,Airai,TL,-8.9266,125.4092,55.11,89,93,3.31,overcast clouds
46,Tommot,RU,58.9564,126.2925,52.66,97,18,1.45,few clouds
47,Sembabule,UG,-0.0772,31.4567,69.76,62,89,3.15,overcast clouds
48,Fort Nelson,CA,58.8053,-122.7002,72.99,56,20,4.61,few clouds
49,Baghdad,IQ,33.3406,44.4009,98.51,15,0,8.05,clear sky
50,Olenegorsk,RU,68.15,33.3,64.62,68,51,4.05,broken clouds
51,Ostrovnoy,RU,68.0531,39.5131,51.85,90,85,8.63,overcast clouds
52,Huarmey,PE,-10.0681,-78.1522,70.7,68,22,13.31,few clouds
53,Wadi Maliz,TN,36.4681,8.5495,78.46,71,50,13.24,scattered clouds
54,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,17.27,few clouds
55,Rikitea,PF,-23.1203,-134.9692,73.92,74,5,16.51,clear sky
56,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,73,0,10.54,clear sky
57,Taunggyi,MM,20.7833,97.0333,64.63,96,100,1.95,overcast clouds
58,Masuguru,TZ,-11.3667,38.4167,76.35,61,37,7.23,scattered clouds
59,Cuamba,MZ,-14.8031,36.5372,68.13,64,84,1.36,broken clouds
